id,track_name,track_number,album,album_label,release_year,release_month,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,popularity
1,Fortnight (feat. Post Malone),1,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.502,0.504,0.386,0.096,-10.976,0.031,192.004,0.281,82
2,The Tortured Poets Department,2,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.048,0.604,0.428,0.126,-8.441,0.025,110.259,0.292,79
3,My Boy Only Breaks His Favorite Toys,3,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.137,0.596,0.563,0.302,-7.362,0.027,97.073,0.481,80
4,Down Bad,4,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.56,0.541,0.366,0.095,-10.412,0.075,159.707,0.168,82
5,"So Long, London",5,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.73,0.423,0.533,0.082,-11.388,0.322,160.218,0.248,80
6,But Daddy I Love Him,6,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.384,0.521,0.72,0.135,-7.684,0.104,79.943,0.438,81
7,Fresh Out The Slammer,7,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.624,0.33,0.483,0.111,-9.394,0.04,87.115,0.34,78
8,Florida!!! (feat. Florence + The Machine),8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.178,0.533,0.573,0.309,-7.123,0.138,150.088,0.398,79
9,Guilty as Sin?,9,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.607,0.626,0.428,0.092,-8.374,0.026,94.95,0.487,82
10,Who’s Afraid of Little Old Me?,10,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.315,0.606,0.338,0.106,-10.555,0.048,119.88,0.238,81
11,I Can Fix Him (No Really I Can),11,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.768,0.661,0.257,0.176,-13.961,0.045,106.896,0.318,77
12,loml,12,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.858,0.423,0.272,0.108,-12.56,0.049,78.539,0.195,80
13,I Can Do It With a Broken Heart,13,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.123,0.701,0.751,0.15,-8.39,0.05,129.994,0.22,82
14,The Smallest Man Who Ever Lived,14,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.52,0.426,0.41,0.338,-9.083,0.058,142.377,0.263,81
15,The Alchemy,15,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.422,0.64,0.421,0.103,-8.802,0.027,100.056,0.353,78
16,Clara Bow,16,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.636,0.686,0.318,0.106,-11.046,0.026,104.088,0.214,76
17,The Black Dog,17,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.707,0.527,0.27,0.102,-10.855,0.038,154.042,0.23,79
18,imgonnagetyouback,18,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.608,0.784,0.391,0.252,-9.471,0.063,110.007,0.15,81
19,The Albatross,19,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.655,0.352,0.479,0.094,-8.942,0.058,172.013,0.292,77
20,Chloe or Sam or Sophia or Marcus,20,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.78,0.516,0.451,0.105,-8.552,0.045,70.266,0.218,77
21,How Did It End?,21,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.785,0.492,0.379,0.108,-8.859,0.026,83.993,0.273,80
22,So High School,22,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.027,0.366,0.866,0.106,-4.514,0.047,176.07,0.293,82
23,I Hate It Here,23,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.717,0.485,0.562,0.357,-7.197,0.035,105.953,0.297,78
24,thanK you aIMee,24,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.609,0.609,0.541,0.122,-8.013,0.035,95.997,0.252,76
25,I Look in People's Windows,25,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.69,0.763,0.274,0.164,-11.429,0.074,90.796,0.385,76
26,The Prophecy,26,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.825,0.421,0.525,0.308,-10.359,0.047,167.927,0.535,81
27,Cassandra,27,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.806,0.587,0.587,0.137,-9.879,0.06,139.963,0.514,76
28,Peter,28,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.805,0.342,0.376,0.059,-8.212,0.037,176.859,0.29,77
29,The Bolter,29,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.638,0.455,0.586,0.131,-7.978,0.049,183.694,0.481,77
30,Robin,30,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.791,0.476,0.386,0.1,-10.601,0.03,138.265,0.158,73
31,The Manuscript,31,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Republic,2024,April,0.901,0.509,0.256,0.103,-11.665,0.031,94.184,0.436,74
32,Fortnight (feat. Post Malone),1,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.502,0.504,0.386,0.096,-10.976,0.031,192.004,0.281,91
33,The Tortured Poets Department,2,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.048,0.604,0.428,0.126,-8.441,0.025,110.259,0.292,75
34,My Boy Only Breaks His Favorite Toys,3,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.137,0.596,0.563,0.302,-7.362,0.027,97.073,0.481,77
35,Down Bad,4,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.56,0.541,0.366,0.095,-10.412,0.075,159.707,0.168,82
36,"So Long, London",5,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.73,0.423,0.533,0.082,-11.388,0.322,160.218,0.248,78
37,But Daddy I Love Him,6,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.384,0.521,0.72,0.135,-7.684,0.104,79.943,0.438,78
38,Fresh Out The Slammer,7,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.624,0.33,0.483,0.111,-9.394,0.04,87.115,0.34,69
39,Florida!!! (feat. Florence + The Machine),8,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.178,0.533,0.573,0.309,-7.123,0.138,150.088,0.398,76
40,Guilty as Sin?,9,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.607,0.626,0.428,0.092,-8.374,0.026,94.95,0.487,82
41,Who’s Afraid of Little Old Me?,10,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.315,0.606,0.338,0.106,-10.555,0.048,119.88,0.238,80
42,I Can Fix Him (No Really I Can),11,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.768,0.661,0.257,0.176,-13.961,0.045,106.896,0.318,67
43,loml,12,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.858,0.423,0.272,0.108,-12.56,0.049,78.539,0.195,75
44,I Can Do It With a Broken Heart,13,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.123,0.701,0.751,0.15,-8.39,0.05,129.994,0.22,88
45,The Smallest Man Who Ever Lived,14,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.52,0.426,0.41,0.338,-9.083,0.058,142.377,0.263,74
46,The Alchemy,15,THE TORTURED POETS DEPARTMENT,Republic,2024,April,0.422,0.64,0.421,0.103,-8.802,0.027,100.056,0.353,73
